STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 24/07/2017 06:59:25.000000 (GMT)
NUMBER OF DATA          : 2333
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.669047 (E-W) 0.516467 (U-D) 0.437384
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.034961      0.056869    -0.010879
    0.027770     -0.056390     0.012863
   -0.023268      0.049841    -0.009220
    0.025083     -0.053334    -0.005769
   -0.024419      0.046027     0.013213
    0.020948     -0.040330    -0.003007
   -0.018596      0.053873     0.002919
    0.009128     -0.039510    -0.008760
   -0.001977      0.012923     0.005175
    0.003170     -0.004018    -0.009438
    0.004029     -0.023528     0.014137
   -0.015605      0.054513    -0.011542
    0.016282     -0.048318     0.010382
   -0.022490      0.031669     0.000673
    0.025303     -0.025409    -0.008411
   -0.010052      0.027780     0.008679
    0.013633     -0.042836     0.000522
   -0.036421      0.061171    -0.011716
    0.032998     -0.053174     0.011403
   -0.025476      0.041565    -0.003677
    0.022366     -0.039517    -0.001197
   -0.006743      0.018880     0.000035
   -0.005999      0.010151     0.000672
    0.019686     -0.037815     0.001553
   -0.037967      0.050571    -0.013085
    0.026023     -0.042008     0.015726
   -0.005444      0.040012    -0.001663
    0.011670     -0.019950     0.009873
   -0.001435     -0.022968     0.047483
    0.022832     -0.033713     0.158725
    0.058352     -0.065016     0.129021
    0.046867     -0.006013    -0.075257
    0.000873      0.070218    -0.224009
   -0.013726     -0.065919    -0.015897
   -0.037551     -0.038569     0.252776
    0.005898     -0.029361     0.052546
   -0.028012      0.103921    -0.207344
   -0.052622      0.049973    -0.212225
   -0.098087      0.005673    -0.116173
   -0.092545      0.013431     0.038772
    0.012640     -0.029249     0.118026
    0.078305      0.100332     0.072925
    0.114409     -0.071786     0.001613
    0.034338     -0.002045    -0.169062
   -0.042222      0.016837    -0.122949
   -0.020943      0.059859     0.093684
    0.083800     -0.064866     0.273019
    0.029384     -0.068761    -0.056941
   -0.107714      0.114767    -0.437384
   -0.157612      0.033871     0.042060
   -0.026834      0.020930     0.114715
    0.133211     -0.052878     0.075577
    0.102337     -0.072804     0.323474
   -0.091189      0.081313     0.027823
   -0.138726      0.175882    -0.289428
    0.133288     -0.205180    -0.194956
    0.265258     -0.188092     0.160926
    0.152995      0.213176     0.108414
   -0.094371      0.192548     0.100327
   -0.352791     -0.067225     0.147395
   -0.360847     -0.048466    -0.305504
   -0.004160     -0.155475    -0.098571
    0.283981     -0.040912     0.366802
    0.250334      0.179155     0.123604
    0.039660      0.088722    -0.183966
   -0.027108     -0.260643    -0.058619
   -0.058435     -0.108911     0.005841
   -0.112535      0.112772    -0.052492
    0.134886     -0.072035    -0.030213
    0.154048      0.150145    -0.054977
   -0.090524     -0.026408     0.005681
   -0.245953      0.068184     0.022196
   -0.121392     -0.031901    -0.084427
    0.020850     -0.015155    -0.130225
    0.086122     -0.014645     0.121863
    0.097221      0.005516     0.155006
    0.066044      0.109456     0.017980
    0.057739      0.136203     0.071059
    0.041167      0.027248     0.120012
   -0.082687     -0.200234    -0.208187
   -0.201008     -0.050009    -0.231387
   -0.029687     -0.172681     0.074740
    0.050473      0.147700     0.114401
    0.120605      0.145543     0.227768
    0.069719      0.093698    -0.158758
   -0.044305     -0.068663    -0.126510
   -0.057165     -0.332810     0.074552
   -0.008099     -0.055655    -0.091069
    0.070790     -0.007574     0.152872
   -0.006999      0.032929     0.246999
   -0.070016      0.017818    -0.012824
   -0.095875     -0.055355    -0.298937
   -0.044876     -0.063385    -0.179445
    0.077572      0.153536     0.089557
    0.146110      0.256331     0.064946
    0.070532      0.145903    -0.047480
   -0.017254     -0.016753    -0.093990
   -0.059745     -0.241897     0.079996
   -0.051033      0.002983     0.057594
    0.041956      0.148445    -0.020888
    0.044180     -0.027005    -0.032646
   -0.029215     -0.039500    -0.100189
   -0.042606     -0.031974     0.032960
    0.008323      0.081864    -0.021179
    0.079899     -0.034789     0.132078
    0.028457     -0.173547     0.139040
   -0.094157      0.087481    -0.116151
   -0.147850      0.122771    -0.093648
   -0.032171     -0.029827     0.211666
    0.102502      0.046992     0.069209
    0.054432     -0.035467    -0.089549
   -0.029974     -0.096820    -0.000820
   -0.079135      0.156573    -0.106408
    0.019592     -0.119476     0.064350
    0.036414     -0.124423    -0.044792
    0.074988     -0.008082     0.048023
    0.069153     -0.105840     0.246951
   -0.021860      0.119811    -0.126877
    0.032763      0.045565    -0.281098
   -0.048983      0.004250    -0.103956
   -0.121828      0.014401     0.032549
   -0.074449     -0.049673     0.159357
    0.011659      0.074039    -0.039751
    0.073170     -0.031625    -0.040133
    0.115279     -0.313468     0.085220
    0.020976      0.144099    -0.013078
   -0.004152      0.228778     0.171285
    0.015104      0.100860     0.088162
    0.075531      0.205711    -0.146542
    0.176174     -0.115678    -0.109820
    0.000851     -0.121190    -0.062985
   -0.127703     -0.118495    -0.050298
   -0.214117     -0.126731    -0.112164
   -0.169022     -0.161767     0.066574
   -0.129710     -0.075176     0.069995
   -0.044560      0.103452     0.077148
    0.200620      0.185746     0.122999
    0.234365      0.230190     0.156671
    0.008766      0.082674     0.245010
   -0.129420      0.108325    -0.113271
   -0.067523      0.109016    -0.199371
    0.116613     -0.150624    -0.073701
    0.184719     -0.206685    -0.142650
    0.048352     -0.106123    -0.191857
   -0.038442     -0.143807     0.091853
   -0.293807      0.026505     0.045981
   -0.168986      0.036181    -0.075498
    0.075843      0.082832     0.063449
    0.154236      0.081573     0.108876
    0.154136     -0.038759     0.036275
    0.023880      0.059169    -0.195060
   -0.126889      0.020786    -0.021315
   -0.225640     -0.121996     0.026447
   -0.130306     -0.004228     0.026565
    0.031842      0.043740     0.055587
    0.182637      0.055532     0.053130
    0.059843      0.157163     0.039311
    0.004672      0.005886    -0.083268
   -0.004219     -0.000924     0.085749
    0.061791     -0.166790     0.029179
    0.057894     -0.130731    -0.095942
    0.085395     -0.087605    -0.048898
    0.032454     -0.145232     0.047752
   -0.149232      0.009500    -0.053393
    0.028200      0.039059     0.012534
    0.065403      0.022486     0.020988
   -0.052390      0.138685     0.008559
   -0.155032      0.016550     0.139371
   -0.152854     -0.031950     0.006402
   -0.085516      0.172166     0.032409
    0.053502      0.076750     0.066347
    0.130153      0.065870    -0.035165
   -0.023448     -0.080020    -0.038055
   -0.108360     -0.082337    -0.066053
    0.073616     -0.010371    -0.149939
    0.180752     -0.044874     0.063029
    0.130362      0.024920    -0.017060
    0.116955      0.066226     0.003448
    0.015755     -0.040789    -0.031835
   -0.077590     -0.007899    -0.003697
   -0.030926      0.024722     0.111366
    0.034677     -0.081781     0.039541
   -0.060646     -0.064204     0.016651
   -0.064145      0.029571    -0.164321
   -0.074844      0.040955    -0.154009
   -0.099205     -0.086632     0.099306
    0.017560      0.033400     0.228621
    0.046144      0.125365    -0.035361
    0.014518      0.145880    -0.159549
   -0.063687      0.023556     0.003767
   -0.065940     -0.180471     0.101531
    0.050248     -0.141818    -0.046975
    0.110379      0.006844     0.148765
    0.088644      0.101591     0.063264
    0.019925      0.148669    -0.102928
   -0.008801     -0.002145    -0.052577
    0.016594     -0.057627    -0.036662
   -0.016271     -0.077130     0.069323
   -0.065774     -0.038856     0.108098
   -0.099423     -0.000076     0.116889
   -0.062619     -0.083470    -0.172874
    0.014683     -0.049130    -0.205930
    0.037760     -0.021363    -0.008149
    0.026864      0.103820     0.158724
   -0.011030      0.047364    -0.009757
   -0.006051      0.008339     0.007309
    0.030434      0.054264    -0.051545
    0.152564      0.016279    -0.072798
    0.136155     -0.141904     0.048503
   -0.043425     -0.010927    -0.145893
   -0.154750      0.038909     0.012459
   -0.077953      0.022933    -0.108599
   -0.014075      0.008400     0.008509
    0.068460     -0.035746     0.143740
    0.148198      0.152383    -0.009044
    0.089310     -0.088513     0.130499
